Alpha	Beta	WER	CER	Texto
1,0	0,0	0,8555555555555555	0,7901878914405011	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionaba por la tele y buscar lumenes argentina
1,0	0,1	0,8555555555555555	0,7901878914405011	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionaba por la tele y buscar lumenes argentina
1,0	0,2	0,8555555555555555	0,7901878914405011	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionaba por la tele y buscar lumenes argentina
1,0	0,30000000000000004	0,8555555555555555	0,7901878914405011	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionaba por la tele y buscar lumenes argentina
1,0	0,4	0,85	0,7849686847599165	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionaba por la tele y buscar louette su argentinidad
1,0	0,5	0,8555555555555555	0,7901878914405011	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionaba por la tele y buscar lumenes argentina
1,0	0,6000000000000001	0,85	0,7849686847599165	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionaba por la tele y buscar louette su argentinidad
1,0	0,7000000000000001	0,85	0,7849686847599165	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionaba por la tele y buscar louette su argentinidad
1,0	0,8	0,8444444444444444	0,7807933194154488	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionaba por la tele y buscar lumet entre su argentinidad
1,0	0,9	0,8444444444444444	0,7807933194154488	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionaba por la tele y buscar lumet entre su argentinidad
1,0	1,0	0,85	0,7849686847599165	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionaba por la tele y buscar louette su argentinidad
1,1	0,0	0,8555555555555555	0,778705636743215	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos eeaaoaeecaoeee
1,1	0,1	0,8555555555555555	0,778705636743215	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos eeaaoaeecaoeee
1,1	0,2	0,8555555555555555	0,778705636743215	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos eeaaoaeecaoeee
1,1	0,30000000000000004	0,8555555555555555	0,7901878914405011	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lumenes argentina 
1,1	0,4	0,8444444444444444	0,7870563674321504	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscarle entre su argentina
1,1	0,5	0,8444444444444444	0,7870563674321504	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscarle entre su argentina
1,1	0,6000000000000001	0,8444444444444444	0,7870563674321504	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscarle entre su argentina
1,1	0,7000000000000001	0,8555555555555555	0,7901878914405011	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lumenes argentina 
1,1	0,8	0,8555555555555555	0,7901878914405011	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lumenes argentina
1,1	0,9	0,8555555555555555	0,7901878914405011	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lumenes argentina
1,1	1,0	0,8555555555555555	0,7901878914405011	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lumenes argentina
1,2000000000000002	0,0	0,8555555555555555	0,7943632567849687	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos
1,2000000000000002	0,1	0,8555555555555555	0,7943632567849687	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos
1,2000000000000002	0,2	0,8555555555555555	0,778705636743215	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos eeaaoaeecaoeee
1,2000000000000002	0,30000000000000004	0,8555555555555555	0,778705636743215	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos eeaaoaeecaoeee
1,2000000000000002	0,4	0,8555555555555555	0,778705636743215	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos eeaaoaeecaoeee
1,2000000000000002	0,5	0,8555555555555555	0,778705636743215	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos eeaaoaeecaoeee
1,2000000000000002	0,6000000000000001	0,8555555555555555	0,778705636743215	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos eeaaoaeecaoeee
1,2000000000000002	0,7000000000000001	0,8555555555555555	0,778705636743215	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos eeaaoaeecaoeee
1,2000000000000002	0,8	0,8555555555555555	0,778705636743215	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos eeaaoaeecaoeee
1,2000000000000002	0,9	0,8555555555555555	0,778705636743215	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos eeaaoaeecaoeee
1,2000000000000002	1,0	0,8555555555555555	0,778705636743215	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos eeaaoaeecaoeee
1,3000000000000003	0,0	0,8444444444444444	0,7870563674321504	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscarle entre su argentina
1,3000000000000003	0,1	0,8444444444444444	0,7828810020876826	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lento entre su argentina
1,3000000000000003	0,2	0,8444444444444444	0,7860125260960334	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lento entre su agenda
1,3000000000000003	0,30000000000000004	0,8444444444444444	0,7860125260960334	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lento entre su agenda
1,3000000000000003	0,4	0,8444444444444444	0,7860125260960334	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lento entre su agenda
1,3000000000000003	0,5	0,8444444444444444	0,7860125260960334	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lento entre su agenda
1,3000000000000003	0,6000000000000001	0,8444444444444444	0,7860125260960334	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lento entre su agenda
1,3000000000000003	0,7000000000000001	0,8555555555555555	0,7943632567849687	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos
1,3000000000000003	0,8	0,8555555555555555	0,7943632567849687	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos
1,3000000000000003	0,9	0,8555555555555555	0,7943632567849687	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos
1,3000000000000003	1,0	0,8555555555555555	0,7943632567849687	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos
1,4000000000000004	0,0	0,8777777777777778	0,8068893528183716	una largarse encuentran en un portal a medio camino entre sus casas cerca del centro comercial la habian quedado para ver a la pelicula que tanto proporcionada por la tele y buscar numenoreanos
1,4000000000000004	0,1	0,8666666666666667	0,7995824634655533	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver a la pelicula que tanto proporcionada por la tele y buscar numenoreanos
1,4000000000000004	0,2	0,8666666666666667	0,7995824634655533	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver a la pelicula que tanto proporcionada por la tele y buscar numenoreanos
1,4000000000000004	0,30000000000000004	0,8666666666666667	0,7995824634655533	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver a la pelicula que tanto proporcionada por la tele y buscar numenoreanos
1,4000000000000004	0,4	0,8555555555555555	0,7943632567849687	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos
1,4000000000000004	0,5	0,8555555555555555	0,7943632567849687	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar numenoreanos
1,4000000000000004	0,6000000000000001	0,8444444444444444	0,7860125260960334	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lento entre su agenda
1,4000000000000004	0,7000000000000001	0,8444444444444444	0,7860125260960334	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lento entre su agenda
1,4000000000000004	0,8	0,8444444444444444	0,7860125260960334	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lento entre su agenda
1,4000000000000004	0,9	0,8444444444444444	0,7860125260960334	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lento entre su agenda
1,4000000000000004	1,0	0,8444444444444444	0,7860125260960334	una arcadia se encuentran en un portal a medio camino entre sus casas cerca del centro comercial ella habian quedado para ver la nueva pelicula que tanto proporcionada por la tele y buscar lento entre su agenda
1,5000000000000004	0,0	0,9055555555555556	0,8340292275574113	una largarse encuentran en un portal a medio camino entre sus casas cerca del centro comercial elsabado para ver alopecica que tanto proporcionalmente resueltamente
1,5000000000000004	0,1	0,8777777777777778	0,8068893528183716	una largarse encuentran en un portal a medio camino entre sus casas cerca del centro comercial la habian quedado para ver a la pelicula que tanto proporcionada por la tele y buscar numenoreanos
