Alpha	Beta	WER	CER	Texto
1,0	0,0	0,625	0,25	arcadia pone esa cancion tanto meto
1,0	0,1	0,625	0,25	arcadia pone esa cancion tanto meto
1,0	0,2	0,625	0,25	arcadia pone esa cancion tanto meto
1,0	0,30000000000000004	0,625	0,25	arcadia pone esa cancion tanto meto
1,0	0,4	0,625	0,25	arcadia pone esa cancion tanto meto
1,0	0,5	0,625	0,25	arcadia pone esa cancion tanto meto
1,0	0,6000000000000001	0,625	0,25	arcadia pone esa cancion tanto meto
1,0	0,7000000000000001	0,625	0,25	arcadia pone esa cancion tanto meto
1,0	0,8	0,625	0,25	arcadia pone esa cancion tanto meto
1,0	0,9	0,625	0,25	arcadia pone esa cancion tanto meto
1,0	1,0	0,5	0,1590909090909091	arcadia pone esa cancion tanto me gusto
1,1	0,0	0,625	0,25	arcadia pone esa cancion tanto meto
1,1	0,1	0,625	0,25	arcadia pone esa cancion tanto meto
1,1	0,2	0,625	0,25	arcadia pone esa cancion tanto meto
1,1	0,30000000000000004	0,625	0,25	arcadia pone esa cancion tanto meto
1,1	0,4	0,625	0,25	arcadia pone esa cancion tanto meto
1,1	0,5	0,625	0,25	arcadia pone esa cancion tanto meto
1,1	0,6000000000000001	0,625	0,25	arcadia pone esa cancion tanto meto
1,1	0,7000000000000001	0,625	0,25	arcadia pone esa cancion tanto meto
1,1	0,8	0,625	0,25	arcadia pone esa cancion tanto meto
1,1	0,9	0,625	0,25	arcadia pone esa cancion tanto meto
1,1	1,0	0,625	0,25	arcadia pone esa cancion tanto meto
1,2000000000000002	0,0	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,2000000000000002	0,1	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,2000000000000002	0,2	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,2000000000000002	0,30000000000000004	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,2000000000000002	0,4	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,2000000000000002	0,5	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,2000000000000002	0,6000000000000001	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,2000000000000002	0,7000000000000001	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,2000000000000002	0,8	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,2000000000000002	0,9	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,2000000000000002	1,0	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,3000000000000003	0,0	0,75	0,3181818181818182	arcadia mesa cancion tanto meta
1,3000000000000003	0,1	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,3000000000000003	0,2	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,3000000000000003	0,30000000000000004	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,3000000000000003	0,4	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,3000000000000003	0,5	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,3000000000000003	0,6000000000000001	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,3000000000000003	0,7000000000000001	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,3000000000000003	0,8	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,3000000000000003	0,9	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,3000000000000003	1,0	0,625	0,22727272727272727	arcadia pone esa cancion tanto meta
1,4000000000000004	0,0	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,4000000000000004	0,1	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,4000000000000004	0,2	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,4000000000000004	0,30000000000000004	0,625	0,36363636363636365	arcadia mesa cancion tanto me
1,4000000000000004	0,4	0,625	0,36363636363636365	arcadia mesa cancion tanto me
1,4000000000000004	0,5	0,625	0,36363636363636365	arcadia mesa cancion tanto me
1,4000000000000004	0,6000000000000001	0,625	0,36363636363636365	arcadia mesa cancion tanto me
1,4000000000000004	0,7000000000000001	0,625	0,36363636363636365	arcadia mesa cancion tanto me
1,4000000000000004	0,8	0,625	0,36363636363636365	arcadia mesa cancion tanto me
1,4000000000000004	0,9	0,625	0,36363636363636365	arcadia mesa cancion tanto me
1,4000000000000004	1,0	0,5	0,2727272727272727	arcadia pone esa cancion tanto me
1,5000000000000004	0,0	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,5000000000000004	0,1	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,5000000000000004	0,2	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,5000000000000004	0,30000000000000004	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,5000000000000004	0,4	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,5000000000000004	0,5	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,5000000000000004	0,6000000000000001	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,5000000000000004	0,7000000000000001	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,5000000000000004	0,8	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,5000000000000004	0,9	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,5000000000000004	1,0	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,6000000000000005	0,0	0,75	0,5	arcadia ponderacion tanto
1,6000000000000005	0,1	0,75	0,5	arcadia ponderacion tanto
1,6000000000000005	0,2	0,75	0,5	arcadia ponderacion tanto
1,6000000000000005	0,30000000000000004	0,75	0,5	arcadia ponderacion tanto
1,6000000000000005	0,4	0,75	0,5	arcadia ponderacion tanto
1,6000000000000005	0,5	0,75	0,5	arcadia ponderacion tanto
1,6000000000000005	0,6000000000000001	0,75	0,5	arcadia ponderacion tanto
1,6000000000000005	0,7000000000000001	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,6000000000000005	0,8	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,6000000000000005	0,9	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,6000000000000005	1,0	0,625	0,4318181818181818	arcadia ponderacion tanto me
1,7000000000000006	0,0	0,75	0,5	arcadia ponderacion tanto
1,7000000000000006	0,1	0,75	0,5	arcadia ponderacion tanto
1,7000000000000006	0,2	0,75	0,5	arcadia ponderacion tanto
1,7000000000000006	0,30000000000000004	0,75	0,5	arcadia ponderacion tanto
1,7000000000000006	0,4	0,75	0,5	arcadia ponderacion tanto
1,7000000000000006	0,5	0,75	0,5	arcadia ponderacion tanto
1,7000000000000006	0,6000000000000001	0,75	0,5	arcadia ponderacion tanto
1,7000000000000006	0,7000000000000001	0,75	0,5	arcadia ponderacion tanto
1,7000000000000006	0,8	0,75	0,5	arcadia ponderacion tanto
1,7000000000000006	0,9	0,75	0,5	arcadia ponderacion tanto
1,7000000000000006	1,0	0,75	0,5	arcadia ponderacion tanto
1,8000000000000007	0,0	0,875	0,4772727272727273	arcadia mecencio quitandome
1,8000000000000007	0,1	0,875	0,4772727272727273	arcadia mecencio quitandome
1,8000000000000007	0,2	0,875	0,4772727272727273	arcadia mecencio quitandome
1,8000000000000007	0,30000000000000004	0,875	0,4772727272727273	arcadia mecencio quitandome
1,8000000000000007	0,4	0,875	0,4772727272727273	arcadia mecencio quitandome
1,8000000000000007	0,5	0,875	0,4772727272727273	arcadia mecencio quitandome
1,8000000000000007	0,6000000000000001	0,75	0,5	arcadia ponderacion tanto
1,8000000000000007	0,7000000000000001	0,75	0,5	arcadia ponderacion tanto
1,8000000000000007	0,8	0,75	0,5	arcadia ponderacion tanto
1,8000000000000007	0,9	0,75	0,5	arcadia ponderacion tanto
1,8000000000000007	1,0	0,75	0,5	arcadia ponderacion tanto
1,9000000000000008	0,0	0,875	0,4772727272727273	arcadia mecencio quitandome
1,9000000000000008	0,1	0,875	0,4772727272727273	arcadia mecencio quitandome
1,9000000000000008	0,2	0,875	0,4772727272727273	arcadia mecencio quitandome
1,9000000000000008	0,30000000000000004	0,875	0,4772727272727273	arcadia mecencio quitandome
1,9000000000000008	0,4	0,875	0,4772727272727273	arcadia mecencio quitandome
1,9000000000000008	0,5	0,875	0,4772727272727273	arcadia mecencio quitandome
1,9000000000000008	0,6000000000000001	0,875	0,4772727272727273	arcadia mecencio quitandome
1,9000000000000008	0,7000000000000001	0,875	0,4772727272727273	arcadia mecencio quitandome
1,9000000000000008	0,8	0,875	0,4772727272727273	arcadia mecencio quitandome
1,9000000000000008	0,9	0,875	0,4772727272727273	arcadia mecencio quitandome
1,9000000000000008	1,0	0,875	0,4772727272727273	arcadia mecencio quitandome
2,000000000000001	0,0	1,0	0,6136363636363636	marcadamente quitandome
2,000000000000001	0,1	1,0	0,6136363636363636	marcadamente quitandome
2,000000000000001	0,2	1,0	0,6136363636363636	marcadamente quitandome
2,000000000000001	0,30000000000000004	1,0	0,6136363636363636	marcadamente quitandome
2,000000000000001	0,4	1,0	0,6136363636363636	marcadamente quitandome
2,000000000000001	0,5	1,0	0,6136363636363636	marcadamente quitandome
2,000000000000001	0,6000000000000001	0,875	0,4772727272727273	arcadia mecencio quitandome
2,000000000000001	0,7000000000000001	0,875	0,4772727272727273	arcadia mecencio quitandome
2,000000000000001	0,8	0,875	0,4772727272727273	arcadia mecencio quitandome
2,000000000000001	0,9	0,875	0,4772727272727273	arcadia mecencio quitandome
2,000000000000001	1,0	0,875	0,4772727272727273	arcadia mecencio quitandome
____________________________________________________
Mejor combinación: Alpha: 1,0 / Beta : 1,0 / CER : 0,1590909090909091
____________________________________________________
